Slug,Title,Icon,Description,Category,Modes,Law Section,Fine,Offense,Practical,Hints,Color,Theme
level-1,Lesson 1 - Red Light Patience,🚥,You are stuck at a busy junction. NPC cars honk aggressively behind you. A family of four is crossing the road — wait for them to reach the other side before you move.,Signals & Signs,pedestrian + car,MV Act Section 119,₹500 - ₹2000,Jumping a Red Signal,Wait at the red light. Let all pedestrians cross. Do not move until the light turns green.,Stop behind the solid white stop line at signals. | Wait for all pedestrians to fully cross before accelerating. | Ignore impatient honking from NPCs — they will not get a challan; you will.,#e74c3c,signal_jump
level-2,Lesson 2 - Street Parking,🅿️,In busy Mumbai streets; finding legal parking is a challenge. NPCs routinely double-park and block footpaths.,Parking Rules,pedestrian + car,MV Act Section 122,₹500 - ₹1000,Parking in No Parking Zone,Find the legal parking spot 50 meters ahead. Park there and walk to the shop objective.,School zones have a 20 km/h speed limit — reduce speed well before entering. | Children may dart out from between parked cars without looking. | Activate your hazard lights to warn NPCs behind you.,#e74c3c,street_parking
level-3,Lesson 3 - Ambulance on a Busy Road,🚑,Emergency vehicles need a clear path. On a busy road; your quick reaction can save a life.,Emergency Priority,pedestrian + car,MV Act Section 194E,₹10000,Blocking Emergency Vehicle,Pull over left and stop when you hear the ambulance siren. Do not move until it passes.,Pull over left immediately when you hear sirens — don't wait for the ambulance to be right behind you. | Stop completely; not just slow down. The ambulance needs a clear lane. | NPCs ahead may panic and swerve — stay predictable.,#e74c3c,ambulance_priority
level-4,Lesson 4 - Puddle on the Main Road,🌧️,After heavy rain; puddles form along footpath edges where pedestrians walk. Your speed determines the splash radius.,Pedestrian Courtesy,pedestrian + car,Municipal Bye-laws,Varies by city,Splashing Pedestrians,Slow down before the puddle. Pass pedestrians at walking pace without splashing them.,Slow down well before you reach a puddle — braking in it sends water everywhere. | If pedestrians are near the edge; crawl past at walking pace. | NPCs will speed through and splash everyone. Don't be them.,#e74c3c,puddle_etiquette
level-5,Lesson 5 - School Zone Crossing,🏫,You are approaching a school zone during dismissal time. Children in uniforms are crossing randomly between parked cars. Slow down and give them priority.,Pedestrian Courtesy,pedestrian + car,MV Act Section 196,₹1000 - ₹5000,Speeding in School Zone,Drive slowly through the school zone. Stop if children are crossing. Do not honk near the school.,School zones have a 20 km/h speed limit — reduce speed well before entering. | Children may dart out from between parked cars without looking. | Activate your hazard lights to warn NPCs behind you.,#e74c3c,pedestrian_courtesy
level-6,Lesson 6 - Hospital Zone Parking,🏥,You are near a hospital entrance. NPC ambulances need clear access. Do not park within 100 meters of the hospital gate — find a spot further away.,Parking Rules,pedestrian + car,MV Act Section 122 & Hospital Bye-laws,₹1000 - ₹3000,Parking Near Hospital,Drive past the hospital. Park in a legal spot at least 100 meters away. Walk back.,Hospitals have a strict no-parking zone within 100 meters of the entrance. | Ambulances need turning space — do not block driveways. | Patient drop-off zones are for temporary stops only — do not linger.,#3498db,respectful_parking
level-7,Lesson 7 - Hospital Zone Silence,🤫,You are driving past a hospital. A 'Silence Zone' sign is visible. An NPC ahead is braking suddenly. Do not honk — slow down and maintain distance.,Silence Zones,car,MV Act Section 118 & Noise Pollution Rules,₹1000 - ₹5000,Honking in Silence Zone,Do not honk. Slow down; maintain distance; and drive silently past the hospital.,Hospitals are legally declared Silence Zones — honking is banned. | Maintain extra following distance to avoid sudden braking. | Patients recovering need quiet — your horn disrupts their recovery.,#2ecc71,silent_zone
level-8,Lesson 8 - Narrow Street Ambulance,🚑,An ambulance is stuck behind you on a narrow single-lane street. There is no room to pull over. Find a gap between parked cars or a driveway to squeeze into.,Emergency Priority,car,MV Act Section 194E,₹10000,Blocking Emergency Vehicle,Find a gap between parked cars. Signal; maneuver into it; and let the ambulance pass.,On narrow streets; you may need to mount the curb slightly to create space. | Look for driveways; alleys; or gaps between parked cars. | Signal your intention before maneuvering — honk once to alert pedestrians.,#e67e22,ambulance_priority
level-9,Lesson 9 - Puddle at a Bus Stop,⛈️,A bus stop is flooded. Commuters are huddled under the shelter; but some are wading through ankle-deep water to reach the road. You must not splash them.,Pedestrian Courtesy,pedestrian + car,Civic Sense Act & Municipal Bye-laws,Civic Penalty,Splashing Commuters at Bus Stop,Wait for commuters to board the bus or clear the road. Pass slowly when the way is clear.,Bus stops concentrate pedestrians — be extra cautious. | Ankle-deep water means a large splash at even low speeds. | Wait for commuters to clear the road before passing.,#9b59b6,puddle_etiquette
level-10,Lesson 10 - Market Area Parking,🛒,A crowded market area with vendors spilling onto the road. NPC auto-rickshaws are parked haphazardly. Navigate through carefully and find a designated parking zone.,Vehicle Etiquette,pedestrian + car,Municipal Corp Bye-laws & MV Act Section 122,₹500 - ₹2000,Parking in Market Zone,Navigate through the market carefully. Park in the designated paid zone. Walk to your destination.,Market vendors have the right to their stall space — do not push them aside. | Auto-rickshaws may pull out without warning — keep a safe distance. | Designated parking zones are marked with blue signs.,#3498db,market_street
