ID,Task,Category,Priority,Status,Source File,Estimated Effort,Description
P0-01,currentRoad undefined bug fix,Phase 0 Bug Fixes,P0 - Critical,Done,game_core.js:2359,5 min,Define currentRoad via roadSegments loop
P0-02,this.levelCfg → this.mapCfg rename,Phase 0 Bug Fixes,P0 - Critical,Done,game_core.js:2267,5 min,Property name mismatch — levelCfg doesn't exist
P0-03,Barricade spawn on road offset,Phase 0 Bug Fixes,P0 - Critical,Done,game_core.js:1987-2007,10 min,Changed offset from ±5 to ±10 so barricades land on sidewalks
P0-04,Obstacle cleanup near spawn,Phase 0 Bug Fixes,P0 - Critical,Done,game_core.js:2014,10 min,Added isBuilding check — only removes barricades/parked vehicles
P0-05,Rain puddles not in collision array,Phase 0 Bug Fixes,P0 - Critical,Done,game_core.js:1583,15 min,Moved this.puddles before rain creation; added push to array
P0-06,Procedural buildings missing userData,Phase 0 Bug Fixes,P0 - Critical,Done,game_core.js:1209/1371/1975,5 min,Added userData.isBuilding = true to procedural buildings
P1-01,AABB building collision system,Phase 1 Building Collision,P1 - High,Done,game_core.js:2935-2960,2 hrs,AABB test with halfW/halfD + axis-of-least-penetration push-out
P1-02,Store building bounding boxes,Phase 1 Building Collision,P1 - High,Done,game_core.js,1 hr,Box3 per building stored in userData
P2-01,Fix z-index overlap (47 → 10 layers),Phase 2 UI Simplification,P1 - High,Done,Driving.html,2 hrs,Consolidated to semantic z-index CSS variables
P2-02,Task bar redesign with emoji stars,Phase 2 UI Simplification,P1 - High,Done,Driving.html,2 hrs,Replaced text-heavy task list with emoji progress stars
P2-03,Progressive HUD reveal,Phase 2 UI Simplification,P1 - High,Done,Driving.html,2 hrs,Level 1-5 speed+objective; 6-15 add minimap; 16+ full HUD
P2-04,Touch-friendly layout (48px targets),Phase 2 UI Simplification,P1 - High,Done,Driving.html,1 hr,Minimum 48px touch targets for all interactive elements
P3-01,Tutorial system overlay,Phase 3 Tutorial,P1 - High,Done,Driving.html,3 hrs,kid-tutorial overlay gated on localStorage kid_tutorial_done
P3-02,Progressive control unlock,Phase 3 Tutorial,P1 - High,Done,Driving.html + game_core.js,2 hrs,Level 1-3 steering+gas; 4-6 add brake; 7-9 add horn; 10+ signals
P3-03,Level intro card (5s visual demo),Phase 3 Tutorial,P1 - High,Done,Driving.html,1 hr,Animated emoji + text intro before each level
P3-04,Animated hand pointer for controls,Phase 3 Tutorial,P1 - High,Done,Driving.html,1 hr,Points at control being taught with floating animation
P4-01,NPC stuck detection timer (3s),Phase 4 NPC AI,P1 - High,Done,game_core.js:2501-2521,30 min,3s timer + teleport-back-to-base in _unpcs()
P4-02,Smooth route wrapping,Phase 4 NPC AI,P1 - High,Done,game_core.js:2501-2521,30 min,Lerp over 1.2s with _wrapT
P4-03,Lane target clamping [-6 6],Phase 4 NPC AI,P1 - High,Done,game_core.js:2501-2521,15 min,Lane target clamped to prevent road drift
P4-04,Traffic light detection range (15m),Phase 4 NPC AI,P1 - High,Done,game_core.js:2567-2592,30 min,Tightened detection range from 30m to 15m
P5-01,MeshToonMaterial pass,Phase 5 Visual Polish,P1 - High,Not Started,game_core.js + ui.js,4-6 hrs,Replace MeshPhongMaterial/MeshLambertMaterial with MeshToonMaterial for cartoon look
P5-02,Color-coded surfaces,Phase 5 Visual Polish,P1 - High,Not Started,game_core.js,1 hr,Road #3d3f45; Sidewalk #8a8a8a; Grass #4a7c3f
P5-03,Reduce vehicle sizes 30%,Phase 5 Visual Polish,P2 - Medium,Not Started,game_core.js,1 hr,Scale down VEHICLE_STATS geometries by 0.7
P5-04,Better lighting (HemisphereLight),Phase 5 Visual Polish,P2 - Medium,Not Started,game_core.js,2 hrs,HemisphereLight (sky/ground) + soft DirectionalLight with shadows
P5-05,Character completion in pedestrian mode,Phase 5 Visual Polish,P2 - Medium,Not Started,ui.js,2 hrs,Ensure full body model loads (head/torso/arms/legs)
P5-06,Camera shake on collision/brake,Phase 5 Visual Polish,P1 - High,Not Started,game_core.js,2-3 hrs,_shakeT accumulator with decay; trigger on collision + hard brake
P6-01,Multi-point routes per level,Phase 6 Level Routes,P1 - High,Done,game_core.js:875,2 hrs,3-5 waypoints per level in _getMapConfig() M table
P6-02,Rain/puddle visual effects,Phase 6 Level Routes,P1 - High,Done,game_core.js,3 hrs,1200 particles; splash particles + thunder SFX; puddle shimmer
P6-03,Night mode headlights,Phase 6 Level Routes,P1 - High,Done,game_core.js,3 hrs,Headlight SpotLights + visible ConeGeometry cones; taillight glow
P6-04,Level-specific road layouts,Phase 6 Level Routes,P1 - High,Done,game_core.js:875,4 hrs,L1-L20 each unique with roads/route/trafficLight/pedSpawn/buildings
P7-01,NPC template cache + pooling,Phase 7 Performance,P2 - Medium,Done,game_core.js,2 hrs,_getNpcTemplate() with _npcFree[]/_pedFree[] reuse
P7-02,Smooth camera transitions,Phase 7 Performance,P2 - Medium,Done,game_core.js,1 hr,0.4s lerp on pointer-lock toggle
P7-03,Audio category system,Phase 7 Performance,P2 - Medium,Done,game_core.js,2 hrs,sfx.vol: {sfx, ui, env} with sfx.setVol()
PERF-01,Disable bloom on mobile,Performance Quick Wins,P1 - High,Not Started,game_core.js:68-77,5 min,UnrealBloomPass is GPU-intensive; disable on mobile/low-end
PERF-02,Cap mobile DPR at 1.0,Performance Quick Wins,P1 - High,Not Started,game_core.js:46-48,5 min,Current 1.5x means 2.25x more pixels on mobile
PERF-03,Lower shadow map to 512x512,Performance Quick Wins,P1 - High,Not Started,game_core.js:57-64,5 min,Current 1024x1024 still too large for mobile
PERF-04,Use distanceToSquared,Performance Quick Wins,P2 - Medium,Not Started,game_core.js:734-741,5 min,Replace distanceTo() with distanceToSquared() in NPC loops
PERF-05,Cap frame rate at 60fps,Performance Quick Wins,P2 - Medium,Not Started,game_core.js:2247,10 min,Game runs at monitor refresh rate; cap with fixed timestep
PERF-06,Implement frustum culling,Performance Medium,P2 - Medium,Not Started,game_core.js,1 hr,Proper frustum culling beyond distance-based visibility toggle
PERF-07,Reduce max NPCs on mobile,Performance Medium,P2 - Medium,Not Started,game_core.js,1 hr,O(n²) collision with 50+ NPCs is expensive on mobile
PERF-08,Throttle event listeners,Performance Medium,P2 - Medium,Not Started,game_core.js,30 min,mousemove/touchmove fire at display refresh rate
PERF-09,Proper memory disposal on level change,Performance Medium,P2 - Medium,Not Started,game_core.js:1034-1039,30 min,Brute-force scene removal; geometries/materials not disposed
PERF-10,Add LOD system,Performance Advanced,P3 - Low,Not Started,game_core.js,4-8 hrs,Level of Detail for buildings and vehicles
PERF-11,Spatial partitioning for collision,Performance Advanced,P3 - Low,Not Started,game_core.js:743-755,4-8 hrs,Quadtree/octree instead of O(n²) brute force
PERF-12,Entity component system,Performance Advanced,P3 - Low,Not Started,game_core.js,1-2 days,Consolidate 9+ arrays updated every frame
PERF-13,Shrink ground plane from 100k to manageable size,Performance Medium,P2 - Medium,Not Started,game_core.js:1110,15 min,100000x100000 unit plane = 10 billion units² geometry
PERF-14,Skip updates when not visible,Performance Medium,P2 - Medium,Not Started,game_core.js:2251,30 min,Skip pedestrian update in vehicle mode; skip minimap when hidden
PERF-15,CSS contain property on UI elements,Performance Medium,P3 - Low,Not Started,Driving.html,10 min,Use contain: layout style paint to prevent reflows
